,name,acres,shore_miles,county
0,,0.12063061,0.05140627,
1,,0.12918177,0.05141785,
2,,0.11178271,0.05145049,
3,,0.90571748,0.17334919,
4,,0.21452231,0.07483534,
5,,0.20841759,0.0681392,
6,,0.185175,0.06838747,
7,,0.27330141,0.07783694,
8,,0.11467099,0.05886051,
9,Bugo,30.37787807,1.01619442,Lake
10,,1.82923603,0.2212672,
11,Pea Soup,12.10123649,0.62396599,Lake
12,Sundown,19.02174696,0.72119824,Lake
13,Unnamed,18.74684436,0.63361897,Aitkin
14,Studhorse,19.65827362,0.72216315,Aitkin
15,Krilwitz,15.66755165,0.61210948,Aitkin
16,Young,32.49287867,1.13960963,Cass
17,Unnamed (Boubora),49.6748518,1.06978285,Hubbard
18,Unnamed,6.65859403,0.42521797,St. Louis
19,,1.19172395,0.22497404,
20,,2.01137683,0.2619357,
21,Jack Haw,165.7415322,2.41668427,Becker
22,McCollum (Tenter),46.52696368,1.42078922,Otter Tail
23,Fourth,125.1349263,2.0732423,Clearwater
24,Willborg,28.08172639,1.46712337,Clearwater
25,Unnamed,70.32627212,1.31494145,Polk
26,Sustacek,46.30370172,1.03831071,McLeod
27,Lauzers,72.01098872,1.39047451,Wright
28,Upper Hunt,100.6139423,1.70572667,Douglas
29,Unnamed,14.64175136,0.63129865,Douglas
30,Unnamed,75.50133211,1.53042119,Otter Tail
31,Hidden,7.63687719,0.43951462,Hennepin
32,Jama Pond,0.18203656,0.07570726,Chisago
33,Day,49.33975127,1.77416421,Itasca
34,Kabekona,2433.396106,10.15802296,Hubbard
35,,0.28706397,0.07793262,
36,Rove,33.05669462,2.56736454,Cook
37,,3.95638237,0.36030046,
38,,0.35745855,0.08966181,
39,,0.45919706,0.10241497,
40,,2.60113626,0.25637155,
41,,0.69818543,0.1525367,
42,,0.24780031,0.07122872,
43,,0.44768307,0.10267843,
44,,0.41711743,0.10846874,
45,,0.24789116,0.08188715,
46,,0.1207948,0.05173535,
47,,0.9017378,0.14073445,
48,,0.1712827,0.06126767,
49,,0.13230864,0.05839886,
50,,2.6983131,0.26923182,
51,,0.11964371,0.0519769,
52,,1.63494513,0.26536356,
53,,1.84858501,0.212036,
54,Round,38.85542638,0.89871288,Otter Tail
55,Silver,238.7338345,2.60095863,Otter Tail
56,Fools Gold,7.84703596,0.43780771,St. Louis
57,Long,115.3912177,3.844299,Morrison
58,Ball Club,4335.290721,19.47168195,Itasca
59,Boggy,46.28571685,1.26815284,Itasca
60,,0.24840962,0.07695545,
61,,2.40422908,0.42826149,
62,,0.20908472,0.06958788,
63,,0.18450011,0.0672611,
64,,0.14767771,0.05985073,
65,,0.15474711,0.05800669,
66,Rock,203.4131775,3.74409418,Crow Wing
67,,0.68383115,0.15150722,
68,,0.95567846,0.14348073,
69,,0.17280974,0.06279037,
70,,0.22352971,0.072034,
71,,0.23109512,0.07451935,
72,,0.26756325,0.07757581,
73,,0.68490268,0.12854088,
74,,0.2417508,0.07385077,
75,,0.33219281,0.08580451,
76,,0.60436302,0.13421642,
77,,0.13319632,0.05611902,
78,Little Long,304.5511758,7.44003781,Itasca
79,Rainy,44591.37235,452.8250559,St. Louis
80,,0.25978116,0.07451749,
81,,6.26633737,0.58299735,
82,,0.15788893,0.06208811,
83,,0.7950916,0.13132216,
84,,0.24435083,0.07990518,
85,,0.10624192,0.04767677,
86,,0.86673633,0.14013975,
87,,1.11042319,0.18069941,
88,,2.50534487,0.22949497,
89,,0.32989666,0.09268987,
90,,0.28297976,0.08508306,
91,,0.18398022,0.06482373,
92,,0.44187247,0.15112476,
93,,0.10493268,0.04746787,
94,,0.20170253,0.0663363,
95,,0.22247846,0.07554205,
96,,0.63108846,0.12991613,
97,,0.28385607,0.08122036,
98,,0.19122259,0.06450189,
99,,0.1231904,0.05137115,
100,Floyd,1177.847004,9.73458632,Becker
101,,0.82132129,0.14576456,
102,,0.50384607,0.12433209,
103,,0.1734323,0.06702352,
104,,0.88378978,0.1826921,
105,,0.18029625,0.07030323,
106,,0.20698675,0.06868979,
107,,0.52417389,0.11225433,
108,,0.16081965,0.0601702,
109,,2.17926395,0.21964922,
110,,0.23237853,0.07100853,
111,,0.66553345,0.11964667,
112,,0.29424386,0.08062723,
113,,0.2333149,0.07403547,
114,Unnamed (Karls Pond),7.07985553,0.48502767,Kandiyohi
115,,0.12394484,0.05361843,
116,,1.5562772,0.18761276,
117,,0.26338565,0.07899933,
118,Unnamed,7.47173922,0.48258125,Cass
119,Nelson,20.6152387,0.84809274,Clay
120,Bulge,11.03828813,0.55951647,Cook
121,Fawn,46.34748481,1.25254344,Cass
122,,0.22091962,0.07334706,
123,,0.72538495,0.15290861,
124,,0.88367454,0.17388732,
125,,0.22191488,0.07673394,
126,Unnamed,4.51277956,0.47148221,Big Stone
127,Unnamed (Kleindl Pond),74.24756312,1.2738053,Big Stone
128,Unnamed,9.46512407,0.46721791,Beltrami
129,Unnamed,15.20808617,0.56040878,Cass
130,Unnamed,9.97996617,0.54950685,St. Louis
131,,0.13082857,0.05656712,
132,,0.2305417,0.06985093,
133,Siegs Slough,67.51150457,1.62816452,Watonwan
134,Unnamed,8.41148448,0.43966473,Pope
135,Unnamed (Hanson),18.37465531,0.83430667,Kandiyohi
136,Unnamed,6.61050902,0.37306284,Mahnomen
137,Unnamed,7.2584093,0.49987684,Itasca
138,Unnamed,6.09461629,0.3707582,Otter Tail
139,Overlook,8.86394228,0.6550022,Morrison
140,Crooked,40.56866259,2.58726046,Mahnomen
141,Unnamed,49.78290343,1.61205592,Faribault
142,Unnamed,41.71624608,1.79776461,Otter Tail
143,Unnamed,11.8275339,0.80215989,Hubbard
144,Unnamed,3.72798849,0.55802994,Hennepin
145,Section Thirty-Six,13.13186222,0.52917433,Cass
146,Hay,52.19545154,1.16366024,Crow Wing
147,Unnamed,17.9473411,0.61568821,Big Stone
148,Bigsby,95.34541938,2.45894272,Cook
149,,0.16411703,0.07405213,
150,,0.34625007,0.08651936,
151,,0.2501787,0.07552564,
152,Tomash,95.30253559,1.94557169,Cook
153,Unnamed,12.93086655,0.79930055,Becker
