,name,acres,shore_miles,county
0,Bugo,30.37787807,1.01619442,Lake
1,Pea Soup,12.10123649,0.62396599,Lake
2,Sundown,19.02174696,0.72119824,Lake
3,Unnamed,18.74684436,0.63361897,Aitkin
4,Studhorse,19.65827362,0.72216315,Aitkin
5,Krilwitz,15.66755165,0.61210948,Aitkin
6,Young,32.49287867,1.13960963,Cass
7,Unnamed (Boubora),49.6748518,1.06978285,Hubbard
8,Jack Haw,165.7415322,2.41668427,Becker
9,McCollum (Tenter),46.52696368,1.42078922,Otter Tail
10,Fourth,125.1349263,2.0732423,Clearwater
11,Willborg,28.08172639,1.46712337,Clearwater
12,Unnamed,70.32627212,1.31494145,Polk
13,Sustacek,46.30370172,1.03831071,McLeod
14,Lauzers,72.01098872,1.39047451,Wright
15,Upper Hunt,100.6139423,1.70572667,Douglas
16,Unnamed,14.64175136,0.63129865,Douglas
17,Unnamed,75.50133211,1.53042119,Otter Tail
18,Day,49.33975127,1.77416421,Itasca
19,Kabekona,2433.396106,10.15802296,Hubbard
20,Rove,33.05669462,2.56736454,Cook
21,Round,38.85542638,0.89871288,Otter Tail
22,Silver,238.7338345,2.60095863,Otter Tail
23,Long,115.3912177,3.844299,Morrison
24,Ball Club,4335.290721,19.47168195,Itasca
25,Boggy,46.28571685,1.26815284,Itasca
26,Rock,203.4131775,3.74409418,Crow Wing
27,Little Long,304.5511758,7.44003781,Itasca
28,Rainy,44591.37235,452.8250559,St. Louis
29,Floyd,1177.847004,9.73458632,Becker
30,Nelson,20.6152387,0.84809274,Clay
31,Bulge,11.03828813,0.55951647,Cook
32,Fawn,46.34748481,1.25254344,Cass
33,Unnamed (Kleindl Pond),74.24756312,1.2738053,Big Stone
34,Unnamed,15.20808617,0.56040878,Cass
35,Siegs Slough,67.51150457,1.62816452,Watonwan
36,Unnamed (Hanson),18.37465531,0.83430667,Kandiyohi
37,Crooked,40.56866259,2.58726046,Mahnomen
38,Unnamed,49.78290343,1.61205592,Faribault
39,Unnamed,41.71624608,1.79776461,Otter Tail
40,Unnamed,11.8275339,0.80215989,Hubbard
41,Section Thirty-Six,13.13186222,0.52917433,Cass
42,Hay,52.19545154,1.16366024,Crow Wing
43,Unnamed,17.9473411,0.61568821,Big Stone
44,Bigsby,95.34541938,2.45894272,Cook
45,Tomash,95.30253559,1.94557169,Cook
46,Unnamed,12.93086655,0.79930055,Becker
47,Nelson,303.2115025,5.63859987,Becker
48,Oar,34.08603527,1.11070912,Becker
49,Schoolhouse,10.91671625,0.77448338,Aitkin
50,Unnamed,24.97596463,0.86433811,Becker
51,Linwood,572.1010891,4.50954989,Anoka
52,Nina Moose,411.3593979,5.47336634,St. Louis
53,North Drywood,403.7949436,4.08829383,Swift
54,Prairie,794.3346195,8.16381118,St. Louis
55,Rasmuson,137.7629602,4.3526342,Pope
56,Mud,10.95425204,0.52996642,Rice
57,Cedar,465.1190097,11.10818676,Lake
58,Divide,61.10878666,1.95136238,Lake
59,Larson,42.88970605,1.07094729,Otter Tail
60,Round Grove,295.7230473,4.25915615,McLeod
61,Hall,548.0516689,4.11513671,Martin
62,Net,137.7764708,2.69627579,Pine
63,Eddy,121.5261262,4.53005642,Lake
64,Greigs,55.38663591,1.20305827,Pine
65,Island,526.7003419,7.17089429,Pine
66,Little Floyd,215.3946106,2.20804247,Becker
67,McMahon,186.6100652,4.26212692,Scott
68,Gore,12.74838871,0.67704587,Cook
69,Chub,12.60537661,0.90476178,Cook
70,Siamese,13.65851951,1.17632706,Cook
71,Assawan,31.37705394,1.45915266,Lake
